
@ TESTS FOR REFERENCE
[positive] Gene adding by file path,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref,add_genes -j ref $resourcePath/dmel-all-r6.06.sorted.cutted.gtf,rg ref;df dmel-all-r6.06.sorted.cutted.gtf;dr ref,.*"id":.+"name":"ref".+"type":"FILE".+"format":"REFERENCE".*,
[positive] Gene adding by name,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rf ref $resourcePath/dmel-all-r6.06.sorted.cutted.gtf -n genes,add_genes -j ref genes,rg ref;df genes;dr ref,.*"id":.+"name":"ref".+"type":"FILE".+"format":"REFERENCE".*,
#FAILS [negative] Gene adding {wrong reference},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref2;rf ref2 $resourcePath/dmel-all-r6.06.sorted.cutted.gtf -n genes,add_genes -j ref genes,rg ref;df genes;dr ref;dr ref2,.*"id":.+"name":"ref".+"type":"FILE".+"format":"REFERENCE".*,WHY WE CAN ADD GENES FOR DIFFERENT REFS
#FAILS [negative] Gene adding by file path {file does not exist},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref,add_genes -j ref $resourcePath/no_gene.gtf,dr ref,,WRONG ERROR MESSAGE
#FAILS [negative] Gene adding by name {wrong gene name},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref,add_genes -j ref wrong_name,dr ref,,WRONG ERROR MESSAGE

@ TESTS FOR ANNOTATIONS
[positive] Annotation [GTF/GFF] adding by file path,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref,an -j ref $resourcePath/dmel-all-r6.06.sorted.cutted.gtf,ran ref dmel-all-r6.06.sorted.cutted.gtf;df dmel-all-r6.06.sorted.cutted.gtf;dr ref,.*"id":.+"name":"ref".+"type":"FILE".+"format":"REFERENCE".*,
[positive] Annotation [GTF/GFF] adding by name,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rf ref $resourcePath/dmel-all-r6.06.sorted.cutted.gtf -n annotation,an -j ref annotation,ran ref annotation;df annotation;dr ref,.*"id":.+"name":"ref".+"type":"FILE".+"format":"REFERENCE".*,
[negative] Annotation [GTF/GFF] adding {wrong reference},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref2;rf ref2 $resourcePath/dmel-all-r6.06.sorted.cutted.gtf -n annotation,an -j ref annotation,df annotation;dr ref;dr ref2,,.*Feature file was registered for reference 'ref2' and can't be used as annotation for 'ref'.*
#FAILS [negative] Annotation [GTF/GFF] adding by file path {file does not exist},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref,an -j ref $resourcePath/no_annotation.gtf,dr ref,,WRONG ERROR MESSAGE
#FAILS [negative] Annotation [GTF/GFF] adding by name {wrong annotation name},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref,an -j ref wrong_name,dr ref,,WRONG ERROR MESSAGE
[positive] Annotation [GTF/GFF] adding by file paths,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref,an -j ref $resourcePath/dmel-all-r6.06.sorted.cutted.gtf $resourcePath/dmel-all-r6.06.sorted.cutted_2.gtf,ran ref dmel-all-r6.06.sorted.cutted.gtf;ran ref dmel-all-r6.06.sorted.cutted_2.gtf;df dmel-all-r6.06.sorted.cutted.gtf;df dmel-all-r6.06.sorted.cutted_2.gtf;dr ref,.*"id":.+"name":"ref".+"type":"FILE".+"format":"REFERENCE".*,
[positive] Annotation [GTF/GFF] adding by names,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rf ref $resourcePath/dmel-all-r6.06.sorted.cutted.gtf -n annotation;rf ref $resourcePath/dmel-all-r6.06.sorted.cutted_2.gtf -n annotation2,an -j ref annotation annotation2,ran ref annotation;df annotation;ran ref annotation2;df annotation2;dr ref,.*"id":.+"name":"ref".+"type":"FILE".+"format":"REFERENCE".*,

[positive] Annotation [BED] adding by file path,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref,an -j ref $resourcePath/CantonS.09-28.trim_X_2L.bed,ran ref CantonS.09-28.trim_X_2L.bed;df CantonS.09-28.trim_X_2L.bed;dr ref,.*"id":.+"name":"ref".+"type":"FILE".+"format":"REFERENCE".*,
[positive] Annotation [BED] adding by name,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rf ref $resourcePath/CantonS.09-28.trim_X_2L.bed -n annotation,an -j ref annotation,ran ref annotation;df annotation;dr ref,.*"id":.+"name":"ref".+"type":"FILE".+"format":"REFERENCE".*,
[negative] Annotation [BED] adding {wrong reference},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref2;rf ref2 $resourcePath/CantonS.09-28.trim_X_2L.bed -n annotation,an -j ref annotation,df annotation;dr ref;dr ref2,,.*Feature file was registered for reference 'ref2' and can't be used as annotation for 'ref'.*
#FAILS [negative] Annotation [BED] adding by file path {file does not exist},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref,an -j ref $resourcePath/no_annotation.bed,dr ref,,WRONG ERROR MESSAGE
#FAILS [negative] Annotation [BED] adding by name {wrong annotation name},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref,an -j ref wrong_name,dr ref,,WRONG ERROR MESSAGE
[positive] Annotation [BED] adding by file paths,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref,an -j ref $resourcePath/CantonS.09-28.trim_X_2L.bed $resourcePath/CantonS.09-28.trim_X_2L_2.bed,ran ref CantonS.09-28.trim_X_2L.bed;ran ref CantonS.09-28.trim_X_2L_2.bed;df CantonS.09-28.trim_X_2L.bed;df CantonS.09-28.trim_X_2L_2.bed;dr ref,.*"id":.+"name":"ref".+"type":"FILE".+"format":"REFERENCE".*,
[positive] Annotation [BED] adding by names,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rf ref $resourcePath/CantonS.09-28.trim_X_2L.bed -n annotation;rf ref $resourcePath/CantonS.09-28.trim_X_2L_2.bed -n annotation2,an -j ref annotation annotation2,ran ref annotation;df annotation;ran ref annotation2;df annotation2;dr ref,.*"id":.+"name":"ref".+"type":"FILE".+"format":"REFERENCE".*,

@TESTS FOR DATASETS
[positive] Registration of a dataset,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref,rd ref dataset1 -j,dd dataset1;dr ref,.+"id":.+"name":"dataset1".+,
[positive] Registration of a dataset with file by path,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref,rd ref dataset1 $resourcePath/CantonS.09-28.trim_X_2L.bed -j,rmd dataset1 CantonS.09-28.trim_X_2L.bed;df CantonS.09-28.trim_X_2L.bed;dd dataset1;dr ref,.+"id":.+"name":"dataset1".+"items":.+name":"ref".+"type":"FILE".+"format":"REFERENCE".+,
[positive] Registration of a dataset with file by relative path,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref,rd ref dataset1 $resourceRelativePath/CantonS.09-28.trim_X_2L.bed -j,rmd dataset1 CantonS.09-28.trim_X_2L.bed;df CantonS.09-28.trim_X_2L.bed;dd dataset1;dr ref,.+"id":.+"name":"dataset1".+"items":.+name":"ref".+"type":"FILE".+"format":"REFERENCE".+,
[positive] Registration of a dataset with file by name,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rf ref $resourcePath/CantonS.09-28.trim_X_2L.bed -n bed,rd ref dataset1 bed -j,rmd dataset1 bed;df bed;dd dataset1;dr ref,.+"id":.+"name":"dataset1".+,
[positive] Registration of a dataset with file by name and by path,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rf ref $resourcePath/CantonS.09-28.trim_X_2L.bed -n bed,rd ref dataset1 bed $resourcePath/dmel-all-r6.06.sorted.cutted.gtf -j,rmd dataset1 bed;df bed;rmd dataset1 dmel-all-r6.06.sorted.cutted.gtf;df dmel-all-r6.06.sorted.cutted.gtf;dd dataset1;dr ref,.+name":"dataset1".+"items":.+name":"ref".+"type":"FILE".+"format":"REFERENCE".+name":"bed".+"type":"FILE".+"format":"BED".+name":"dmel-all-r6.06.sorted.cutted.gtf".+"type":"FILE".+"format":"GENE".*,
[positive] Registration of a dataset {pretty name},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref,rd ref dataset1 -pt prettydata -j,dd dataset1;dr ref,.+"id":.+"name":"dataset1".+"prettyName":"prettydata".+,
[positive] Registration of a dataset {with parent},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rd ref parent,rd ref child --parent parent -j,dd child;dd parent;dr ref,.+"name":"child".+"parentId":.+,

[negative] Registration of a dataset {with parent wrong parent},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref,rd ref child --parent parent -j,dr ref,,.+Failed to find a project by name: parent.+
#FAILS [negative] Registration of a dataset {with parent wrong reference},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref2;rd ref parent,rd ref2 child --parent parent -j,dd child;dd parent;dr ref;dr ref2,,

[negative] Registration of a dataset {wrong reference},,rd ref dataset1,,,.*Failed to find a file by name.*
[negative] Registration of a dataset with file by path {file does not exist},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref,rd ref dataset1 $resourcePath/does_not_exist.bed,dd dataset1;dr ref,,.*most likely the file doesn't exist.*
#FAILS [negative] Registration of a dataset with file by name {wrong file name},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref,rd ref dataset1 bed,dr ref,,WRONG ERROR MESSAGE
[negative] Registration of a dataset {already exist},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rd ref dataset1,rd ref dataset1,dd dataset1;dr ref,,.*Project 'dataset1' already exists.*

@Deletion
[positive] Dataset deletion,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta; rd testfasta dataset,dd -j dataset,dd  dataset;dr testfasta,.+successfully deleted.*,
[negative] Dataset deletion (has child),rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta; rd testfasta dataset;rd testfasta datasetchild -p dataset,dd -j dataset,dd  datasetchild;dd  dataset;dr testfasta,.*This dataset has nested datasets and cant be deleted. Use force deletion to delete anyway.*,
[positive] Dataset deletion (has child) —force,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta; rd testfasta dataset;rd testfasta datasetchild -p dataset,dd -j -f dataset,dr testfasta,.+successfully deleted.*,

@ Listing
[positive] List datasets,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rd ref dataset1;rd ref dataset2,ld,dd dataset1;dd dataset2;dr ref,."id":.+."name":"dataset1".*."id":.+."name":"dataset2".*,
[positive] List datasets (parent-child),rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rd ref dataset1;rd ref dataset2 -p dataset1,ld,dd dataset2;dd dataset1;dr ref,^((?!dataset2).)*$,
[positive] List datasets (parent-child) —parent,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rd ref dataset1;rd ref dataset2 -p dataset1,ld -p dataset1,dd dataset2;dd dataset1;dr ref,."id":.+."name":"dataset1".*."id":.+."name":"dataset2".*,
[positive] List — no dataset,,ld ,,No datasets registered on the server.,

@Adding to dataset
[positive] Adding to dataset by path,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rd ref dataset1, add dataset1 $resourcePath/CantonS.09-28.trim_X_2L.bed -j,rmd dataset1 CantonS.09-28.trim_X_2L.bed;dd dataset1;df CantonS.09-28.trim_X_2L.bed;dr ref,.+name":"dataset1".+"items":.+name":"ref".+"format":"REFERENCE".+name":"CantonS.09-28.trim_X_2L.bed".+"type":"FILE".+"format":"BED".*,
[positive] Adding to dataset by relative path,rr $resourceRelativePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rd ref dataset1, add dataset1 $resourcePath/CantonS.09-28.trim_X_2L.bed -j,rmd dataset1 CantonS.09-28.trim_X_2L.bed;dd dataset1;df CantonS.09-28.trim_X_2L.bed;dr ref,.+name":"dataset1".+"items":.+name":"ref".+"format":"REFERENCE".+name":"CantonS.09-28.trim_X_2L.bed".+"type":"FILE".+"format":"BED".*,
[positive] Adding to dataset by name,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rf ref $resourcePath/CantonS.09-28.trim_X_2L.bed -n bed;rd ref dataset1, add dataset1 bed -j,rmd dataset1 bed;dd dataset1;df bed;dr ref,.+name":"dataset1".+"items":.+name":"ref".+"format":"REFERENCE".+name":"bed".+"type":"FILE".+"format":"BED".*,
[negative] Adding to dataset by wrong path,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rd ref dataset1, add dataset1 $resourcePath/wrong_path.bed -j,dd dataset1;dr ref,,.*Unable to open the input file.*most likely the file doesn't exist.*
#FAILS [negative] Adding to dataset by wrong name,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rd ref dataset1,add dataset1 bed -j,dd dataset1;dr ref,,WRONG ERROR MESSAGE
[negative] Adding to dataset by path with wrong format,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rd ref dataset1,add dataset1 $resourcePath/bad_file_format.txt -j,dd dataset1;dr ref,,.*Unsupported file format.*txt.*
[negative] Adding to dataset {already exist},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rf ref $resourcePath/CantonS.09-28.trim_X_2L.bed -n bed;rd ref dataset1;add dataset1 bed,add dataset1 bed -j,rmd dataset1 bed;df bed;dd dataset1;dr ref,.+name":"dataset1".+"items":.+name":"ref".+"format":"REFERENCE".+"name":"bed".+"type":"FILE".+"format":"BED".*"itemsCount":2.*,

@Remove from dataset
[positive] Removing from dataset,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rf ref $resourcePath/CantonS.09-28.trim_X_2L.bed -n bed;rd ref dataset1;add dataset1 bed,rmd dataset1 bed -j,dd dataset1;df bed;dr ref,.+name":"dataset1".+"items":.+name":"ref".+"format":"REFERENCE".+"itemsCount":1.*,
[negative] Removing from dataset {file does not exist},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rd ref dataset1,rmd dataset1 bed -j,dd dataset1;dr ref,,.*Failed to find a file by name: bed.*
[negative] Removing from dataset {dataset does not exist},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rf ref $resourcePath/CantonS.09-28.trim_X_2L.bed -n bed,rmd dataset1 bed -j,df bed;dr ref,,.*Failed to find a project by name: dataset1.*

@Moving dataset
[positive] Moving a dataset to parent,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rd ref parent;rd ref child,md child --parent parent -j,dd child;dd parent;dr ref,,
[positive] Moving a dataset from parent to root,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rd ref parent;rd ref child --parent parent,md child -j,dd child;dd parent;dr ref,,
[negative] Moving a dataset {wrong parent},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rd ref child,md child --parent parent -j,dd child;dr ref,,.+Failed to find a project by name: parent.+
#FAILS [negative] Registration of a dataset {with parent wrong reference},rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref;rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref2;rd ref parent,rd ref2 child --parent parent -j,dd child;dd parent;dr ref;dr ref2,,


@FILE comands test
@Registration
[positive] BAM Registration,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/CantonS.09-28.trim.dm606.realign_X_2L.bam?$resourcePath/CantonS.09-28.trim.dm606.realign_X_2L.bai,df CantonS.09-28.trim.dm606.realign_X_2L.bam;dr testfasta,.*"id":.+."name":"CantonS.09-28.trim.dm606.realign_X_2L.bam"."bioDataItemId":.+."type":"FILE".+"format":"BAM".+,
[positive] BAM Registration without provided index,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/CantonS.09-28.trim.dm606.realign_X_2L.bam,df CantonS.09-28.trim.dm606.realign_X_2L.bam;dr testfasta,.*"id":.+."name":"CantonS.09-28.trim.dm606.realign_X_2L.bam"."bioDataItemId":.+."type":"FILE".+"format":"BAM".+,
[positive] BAM Registration by relative path,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourceRelativePath/CantonS.09-28.trim.dm606.realign_X_2L.bam?$resourceRelativePath/CantonS.09-28.trim.dm606.realign_X_2L.bai,df CantonS.09-28.trim.dm606.realign_X_2L.bam;dr testfasta,.*"id":.+."name":"CantonS.09-28.trim.dm606.realign_X_2L.bam"."bioDataItemId":.+."type":"FILE".+"format":"BAM".+,
[positive] BAM Registration without provided index and by relative path,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourceRelativePath/CantonS.09-28.trim.dm606.realign_X_2L.bam,df CantonS.09-28.trim.dm606.realign_X_2L.bam;dr testfasta,.*"id":.+."name":"CantonS.09-28.trim.dm606.realign_X_2L.bam"."bioDataItemId":.+."type":"FILE".+"format":"BAM".+,
[positive] BAM Registration by name,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/CantonS.09-28.trim.dm606.realign_X_2L.bam?$resourcePath/CantonS.09-28.trim.dm606.realign_X_2L.bai -n testfile,df testfile;dr testfasta,.*"id":.+."name":"testfile".+."type":"FILE".+"format":"BAM".+,
[negative] BAM Registration no index,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/CantonS.09-28.trim.dm606.realign_X_2L_2.bam,dr testfasta,,.+Index file is required for file.+
[negative] BAM Registration no index with —no_index,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/CantonS.09-28.trim.dm606.realign_X_2L_2.bam -ni,dr testfasta,,.+Index file is required for file.+
[positive] BAM Registration —pretty,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/CantonS.09-28.trim.dm606.realign_X_2L.bam?$resourcePath/CantonS.09-28.trim.dm606.realign_X_2L.bai -pt prettybam,df CantonS.09-28.trim.dm606.realign_X_2L.bam;dr testfasta,.+"prettyName":"prettybam".+,
[negative] Registration — no such file,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/no.bam?$resourcePath/no.bai,dr testfasta,,.+java.io.FileNotFoundException.+
[negative] Registration — Unsupported format,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/CantonS.09-28.trim.dm606.realign_X_2L.bai,dr testfasta,,.+Unsupported file format.+
[positive] VCF Registration,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/CantonS.09-28.trim_X.dm606.realign.vcf,df CantonS.09-28.trim_X.dm606.realign.vcf;dr testfasta,.*"id":.+."name":"CantonS.09-28.trim_X.dm606.realign.vcf"."bioDataItemId":.+."type":"FILE".+"format":"VCF".+,
[positive] VCF.GZ Registration,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/CantonS.09-28.trim_X.dm606.realign.vcf.gz,df CantonS.09-28.trim_X.dm606.realign.vcf.gz;dr testfasta,.*"id":.+."name":"CantonS.09-28.trim_X.dm606.realign.vcf.gz"."bioDataItemId":.+."type":"FILE".+"format":"VCF".+,
[positive] VCF.GZ with local TBI Registration,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/vcf_gz_with_tbi.vcf.gz,df vcf_gz_with_tbi.vcf.gz;dr testfasta,.*"id":.+."name":"vcf_gz_with_tbi.vcf.gz"."bioDataItemId":.+."type":"FILE".+"format":"VCF".+,
[positive] VCF with local IDX Registration,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/vcf_with_idx.vcf,df vcf_with_idx.vcf;dr testfasta,.*"id":.+."name":"vcf_with_idx.vcf"."bioDataItemId":.+."type":"FILE".+"format":"VCF".+,
[positive] VCF Registration by relative path,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourceRelativePath/CantonS.09-28.trim_X.dm606.realign.vcf,df CantonS.09-28.trim_X.dm606.realign.vcf;dr testfasta,.*"id":.+."name":"CantonS.09-28.trim_X.dm606.realign.vcf"."bioDataItemId":.+."type":"FILE".+"format":"VCF".+,
[positive] VCF Registration by name,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/CantonS.09-28.trim_X.dm606.realign.vcf -n vcffile,df vcffile;dr testfasta,.*"id":.+."name":"vcffile"."bioDataItemId":.+."type":"FILE".+"format":"VCF".+,
[negative] VCF Registration with unexisting index,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/CantonS.09-28.trim_X.dm606.realign.vcf?$resourcePath/CantonS.09-28.trim_X.dm606.realign.vcf.tbi,dr testfasta,,.*An index is required. but none found.*
[positive] VCF Registration no index with —no_index,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/CantonS.09-28.trim_X.dm606.realign.vcf -ni,df CantonS.09-28.trim_X.dm606.realign.vcf;dr testfasta,.*"id":.+."name":"CantonS.09-28.trim_X.dm606.realign.vcf"."bioDataItemId":.+."type":"FILE".+"format":"VCF".+,
[positive] VCF Registration —pretty,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/CantonS.09-28.trim_X.dm606.realign.vcf -pt prettyvcf,df CantonS.09-28.trim_X.dm606.realign.vcf;dr testfasta,.+"prettyName":"prettyvcf".+,
[positive] GTF Registration,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/dmel-all-r6.06.sorted.cutted.gtf,df dmel-all-r6.06.sorted.cutted.gtf;dr testfasta,.*"id":.+."name":"dmel-all-r6.06.sorted.cutted.gtf"."bioDataItemId":.+."type":"FILE".+"format":"GENE".+,
[positive] GTF.GZ Registration,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/dmel-all-r6.06.sorted.cutted.gtf.gz,df dmel-all-r6.06.sorted.cutted.gtf.gz;dr testfasta,.*"id":.+."name":"dmel-all-r6.06.sorted.cutted.gtf.gz"."bioDataItemId":.+."type":"FILE".+"format":"GENE".+,
[positive] GTF Registration by relative path,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourceRelativePath/dmel-all-r6.06.sorted.cutted.gtf,df dmel-all-r6.06.sorted.cutted.gtf;dr testfasta,.*"id":.+."name":"dmel-all-r6.06.sorted.cutted.gtf"."bioDataItemId":.+."type":"FILE".+"format":"GENE".+,
[positive] GTF Registration by name,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/dmel-all-r6.06.sorted.cutted.gtf -n gtffile,df gtffile;dr testfasta,.*"id":.+."name":"gtffile"."bioDataItemId":.+."type":"FILE".+"format":"GENE".+,
#FAILS [negative] GTF Registration with unexisting index,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/dmel-all-r6.06.sorted.cutted.gtf?$resourcePath/dmel-all-r6.06.sorted.cutted.gtf.tbi,df dmel-all-r6.06.sorted.cutted.gtf;dr testfasta,,.*Failed to find a file by name.*
[positive] GTF Registration no index with —no_index,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/dmel-all-r6.06.sorted.cutted.gtf -ni,df dmel-all-r6.06.sorted.cutted.gtf;dr testfasta,.*"id":.+."name":"dmel-all-r6.06.sorted.cutted.gtf"."bioDataItemId":.+."type":"FILE".+"format":"GENE".+,
[positive] GTF Registration —pretty,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n testfasta,rf -j testfasta $resourcePath/dmel-all-r6.06.sorted.cutted.gtf -pt prettygtf,df dmel-all-r6.06.sorted.cutted.gtf;dr testfasta,.+"prettyName":"prettygtf".+,
[positive] BED registration,rr $resourcePath/dmel-all-chromosome-r6.06.cutted.fa -n ref,rf ref $resourcePath/CantonS.09-28.trim_X_2L.bed -n bed -j,df bed;dr ref,.*"id":.+"name":"bed".+"type":"FILE".+"format":"BED".*,
